"super_code","j_code","start_date","end_date","count"
"KEH","000110","2021/10/1","2021/10/31","629"
"B34","000120","2021/10/1","2021/10/31","206"
"KEH","000120","2021/10/1","2021/10/31","628"
"AGT","000340","2021/10/1","2021/10/31","1,239"
"KKH","000340","2021/10/1","2021/10/31","0"
"KS3","000340","2021/10/1","2021/10/31","157"
"MSZ","000340","2021/10/1","2021/10/31","0"
"NTN","000340","2021/10/1","2021/10/31","289"
"NTN","000370","2021/10/1","2021/10/31","0"
"NTN","000760","2021/10/1","2021/10/31","11"
"NTN","000800","2021/10/1","2021/10/31","3"
"KS3","001570","2021/10/1","2021/10/31","55"
"OZK","002140","2021/10/1","2021/10/31","0"
"MGS","003380","2021/10/1","2021/10/31","184"
"S30","003380","2021/10/1","2021/10/31","0"
"CSR","003890","2021/10/1","2021/10/31","0"
"LIF","003890","2021/10/1","2021/10/31","212"
"IMI","004160","2021/10/1","2021/10/31","0"
"YSH","004160","2021/10/1","2021/10/31","4,855"
"ADG","004350","2021/10/1","2021/10/31","0"
"FTC","004350","2021/10/1","2021/10/31","0"
"H01","004350","2021/10/1","2021/10/31","0"
"H02","004350","2021/10/1","2021/10/31","0"
"I10","004350","2021/10/1","2021/10/31","0"
"KKH","004350","2021/10/1","2021/10/31","0"
"NTN","004350","2021/10/1","2021/10/31","1,333"
"010","004540","2021/10/1","2021/10/31","716"
"H02","004540","2021/10/1","2021/10/31","0"
"M24","004540","2021/10/1","2021/10/31","0"
"OHR","004540","2021/10/1","2021/10/31","0"
"HC7","004590","2021/10/1","2021/10/31","1,374"
"SKA","004590","2021/10/1","2021/10/31","179"
"SZS","004800","2021/10/1","2021/10/31","73"
"H01","004800","2021/10/1","2021/10/31","0"
"NTN","004860","2021/10/1","2021/10/31","0"
"I10","004900","2021/10/1","2021/10/31","0"
"YBM","004900","2021/10/1","2021/10/31","0"
"YKM","004900","2021/10/1","2021/10/31","0"
"YOK","004900","2021/10/1","2021/10/31","0"
"I10","004970","2021/10/1","2021/10/31","0"
"LIF","004970","2021/10/1","2021/10/31","0"
"HC7","005090","2021/10/1","2021/10/31","851"
"KSE","005240","2021/10/1","2021/10/31","0"
"MS2","005410","2021/10/1","2021/10/31","39"
"OZK","005500","2021/10/1","2021/10/31","14"
"NTN","005510","2021/10/1","2021/10/31","692"
"SSI","005510","2021/10/1","2021/10/31","0"
"IMI","006550","2021/10/1","2021/10/31","319"
"OZK","006590","2021/10/1","2021/10/31","421"
"GRH","006690","2021/10/1","2021/10/31","366"
"HC7","006690","2021/10/1","2021/10/31","140"
"KSE","006770","2021/10/1","2021/10/31","0"
"GRH","006800","2021/10/1","2021/10/31","603"
"HC7","006800","2021/10/1","2021/10/31","922"
"GRH","006940","2021/10/1","2021/10/31","539"
"GRH","006960","2021/10/1","2021/10/31","1,782"
"011","007260","2021/10/1","2021/10/31","0"
"OZK","007300","2021/10/1","2021/10/31","391"
"TJY","007440","2021/10/1","2021/10/31","334"
"SKA","007470","2021/10/1","2021/10/31","1"
"SSI","007500","2021/10/1","2021/10/31","0"
