"j_code","name","name_kana","post_code","address","tel","fax","billing_post_code","billing_address","billing_tel","billing_fax"
"000110","大正製薬株式会社","","","","","","171-8633","東京都豊島区高田３－２４－１","03-3985-1111",""
"000120","エスエス製薬㈱","","","","","","163-1488","東京都新宿区西新宿３－２０－２　東京オペラシティタワー","03-6301-4511",""
"000340","㈱アイネット","","","","","","168-0061","東京都杉並区大宮１－７－１８","03-3315-7111",""
"002140","㈱あらた　埼玉支店","","","","","","351-0014","埼玉県朝霞市膝折町２－２１－１２","048-450-0105",""
"003380","㈱伸侊","","","","","","203-0031","東京都東久留米市南町４－８－５","0424-75-4594",""
"003890","国分フードクリエイト㈱","","","","","","103-0027","東京都中央区日本橋1-2-6","03-3276-6767",""
"004160","三井食品㈱","","","","","","104-8277","東京都中央区八重洲２－７－２　八重洲三井ビルディング","03-3551-6099",""
"004350","㈱イタリアンフーズ","","","","","","157-0061","東京都世田谷区北烏山８－５－１","03-3326-3011",""
"004540","㈱魚一商店","","","","","","961-0400","福島県白河市表郷金字下ノ内４７","0248-32-2511",""
"004800","下田商事㈱","","","","","","161-8511","東京都新宿区上落合２－２６－５","03-3361-6133",""
"004900","丸富衛材株式会社","","","","","","417-0847","静岡県富士市比奈６５０－１","0545-34-0840",""
"004970","㈱中外食品","","","","","","104-0045","東京都中央区築地３－１３－５","03-3545-2751",""
"005240","㈱山大","","","","","","103-0012","東京都中央区日本橋堀留町１－４－７","03-3663-4141",""
"005410","㈱共立","","","","","","334-0074","埼玉県川口市江戸３-１-５","048-281-2372",""
"005500","オクムラ株式会社","","","","","","600-8882","京都府京都市下京区西七条比輪田町3番地","075-313-1550",""
"005510","ヤマエ久野㈱","","","","","","130-0015","東京都墨田区横網１-６-１　国際ファッションセンタービル８階","03-5637-1170",""
"006550","国分関信越㈱ 第二支社 埼玉支店","","","","","","360-0023","埼玉県熊谷市佐谷田字山神１７７７　ソシオ流通センター４Ｆ","048-520-1100",""
